timestamp_str,event_type,path,file_type,size,permissions,owner,group,details
2026-03-12 17:13:46.078472,M (Modified),users\bob\.ssh\id_rsa,file,141,0666,0,0,File content last modified
2026-03-12 17:13:46.096445,C (Changed/Created),secrets\shadow_backup,file,48,0666,0,0,Metadata changed (Linux) or file created (Windows)
2026-03-12 17:13:46.096445,B (Born),secrets\shadow_backup,file,48,0666,0,0,File creation time
2026-03-12 17:13:46.098463,M (Modified),secrets\shadow_backup,file,48,0666,0,0,File content last modified
2026-03-12 17:13:46.114133,C (Changed/Created),config\.env,file,162,0666,0,0,Metadata changed (Linux) or file created (Windows)
2026-03-12 17:13:46.114133,B (Born),config\.env,file,162,0666,0,0,File creation time
2026-03-12 17:13:46.114759,M (Modified),config,directory,0,0777,0,0,File content last modified
2026-03-12 17:13:46.115286,M (Modified),config\.env,file,162,0666,0,0,File content last modified
2026-03-12 17:13:46.139507,C (Changed/Created),secrets\cert.pem,file,93,0666,0,0,Metadata changed (Linux) or file created (Windows)
2026-03-12 17:13:46.139507,B (Born),secrets\cert.pem,file,93,0666,0,0,File creation time
2026-03-12 17:13:46.141503,M (Modified),secrets\cert.pem,file,93,0666,0,0,File content last modified
2026-03-12 17:13:46.152124,M (Modified),public,directory,0,0777,0,0,File content last modified
2026-03-12 17:13:46.152124,C (Changed/Created),public\api_token.json,file,101,0666,0,0,Metadata changed (Linux) or file created (Windows)
2026-03-12 17:13:46.152124,B (Born),public\api_token.json,file,101,0666,0,0,File creation time
2026-03-12 17:13:46.152634,M (Modified),public\api_token.json,file,101,0666,0,0,File content last modified
2026-03-12 17:13:46.158688,M (Modified),bin,directory,0,0777,0,0,File content last modified
2026-03-12 17:13:46.158688,C (Changed/Created),bin\backup_cron.bat,file,144,0777,0,0,Metadata changed (Linux) or file created (Windows)
2026-03-12 17:13:46.158688,B (Born),bin\backup_cron.bat,file,144,0777,0,0,File creation time
2026-03-12 17:13:46.159236,M (Modified),bin\backup_cron.bat,file,144,0777,0,0,File content last modified
